Number,Title,Category,Sub-category,Author,Co-authors,Votes For,Votes Against,Date Implemented
40,The Landmine Convention,Global Disarmament,Significant,Quintessence of Dust,,2766,1405,2009-03-19 16:00:01-04:00
41,Access to Life-Saving Drugs,Social Justice,Significant,Sionis Prioratus,,3269,1183,2009-04-07 16:00:01-04:00
42,WA Environmental Council,Environmental,All Businesses - Strong,Parilisa,,2832,1390,2009-04-12 16:00:02-04:00
43,WA Labor Relations Act,Civil Rights,Significant,Hiriaurtung Arororugul,,2682,1661,2009-04-17 16:00:01-04:00
44,Reduction of Abortion Act,Social Justice,Mild,The Cat-tribe,,3166,1516,2009-04-22 16:00:02-04:00
45,"Repeal ""World Assembly Economic Union""",Repeal,26,Southeastern Evropa,,2963,1204,2009-04-28 16:00:01-04:00
46,Right of Emigration,Civil Rights,Mild,Charlotte Ryberg,,3011,1673,2009-05-05 16:00:01-04:00
47,Law of the Sea,Political Stability,Mild,Cobdenia,,3348,1065,2009-05-12 16:00:01-04:00
48,Access to Science in Schools,Education and Creativity,Educational,Sionis Prioratus,,3023,1661,2009-05-26 16:00:01-04:00
49,Stem Cells For Greater Health,Social Justice,Significant,Studly Penguins,,3528,1523,2009-05-31 16:00:01-04:00
50,International Salvage Laws,Social Justice,Mild,Sydia,,3282,1345,2009-06-05 16:00:01-04:00
51,Humanitarian Aid Coordination,Social Justice,Significant,Charlotte Ryberg,,3020,1036,2009-06-30 00:00:01-04:00
52,Food Welfare Act,Social Justice,Strong,Glen-Rhodes,,1855,578,2009-07-08 12:00:01-04:00
53,Epidemic Response Act,International Security,Strong,Goddess Relief Office,,3735,1301,2009-07-16 12:00:01-04:00
54,Dignified End of Life Choices,Civil Rights,Strong,Studly Penguins,Robert Hawkins,3235,1678,2009-07-24 12:00:01-04:00
55,"Repeal ""Right of Emigration""",Repeal,46,Sionis Prioratus,,3669,1091,2009-08-01 12:00:02-04:00
56,Numismatics Appreciation Act,Education and Creativity,Cultural Heritage,Buffett and Colbert,,3095,1942,2009-08-13 12:00:01-04:00
57,Refugee Protection,Civil Rights,Significant,Kelssek,,4137,1254,2009-08-17 12:00:02-04:00
58,Right to Privacy,Civil Rights,Strong,Greenlandic People,,3474,1767,2009-08-21 12:00:01-04:00
59,The Right to Education,Education and Creativity,Educational,Meekinos,Charlotte Ryberg,4374,1176,2009-08-29 12:00:02-04:00
60,Nuclear Disaster Response Act,International Security,Strong,Veilyonia,,4725,985,2009-09-02 12:00:01-04:00
61,WA Copyright Charter,Education and Creativity,Artistic,Glen-Rhodes,,3894,1335,2009-09-10 12:00:02-04:00
62,For the Detained and Convicted,Civil Rights,Significant,R539,Meekinos,3115,2474,2009-09-14 12:00:01-04:00
63,Protection of Outer Space Act,Environmental,All Businesses - Strong,Stash Kroh,,3995,1450,2009-09-18 12:00:01-04:00
64,Food and Drug Standards,Social Justice,Significant,Greenlandic People,,3178,1864,2009-09-26 12:00:01-04:00
65,Biological Weapons Conference,Global Disarmament,Significant,Bergnovinaia,,3490,2146,2009-09-30 12:00:01-04:00
66,Endangered Species Protection,Environmental,All Businesses - Strong,Burninati0n,,4082,1381,2009-10-08 12:00:01-04:00
67,Habeas Corpus,Civil Rights,Significant,Gobbannium,,4398,1636,2009-10-16 12:00:02-04:00
68,National Economic Freedoms,Free Trade,Strong,Krioval,,4748,1365,2009-10-20 12:00:02-04:00
69,Protection of monuments,Education and Creativity,Cultural Heritage,The Autumn Clans,,4326,1774,2009-10-30 12:00:01-04:00
70,International Competition Law,Free Trade,Significant,Glen-Rhodes,,3679,2019,2009-11-03 12:00:02-05:00
71,"Repeal ""Protection of monuments""",Repeal,69,Grays Harbor,,3902,2291,2009-11-11 12:00:02-05:00
72,Cultural Heritage Protection,Education and Creativity,Cultural Heritage,Bergnovinaia,Charlottle Ryberg,4173,1833,2009-11-21 00:00:01-05:00
73,International Postal Union,Free Trade,Mild,Grays Harbor,,4292,1320,2009-12-19 12:00:02-05:00
74,Medical Blockade Restriction,Free Trade,Strong,Philimbesi,,4299,1371,2010-01-11 00:00:02-05:00
75,International Radio Act,Free Trade,Mild,Linux and the X,,4328,1505,2010-01-27 00:00:02-05:00
76,Standardised Passport Act,Political Stability,Mild,Cobdenia,,3573,1842,2010-02-04 00:00:01-05:00
77,"Repeal ""The Right to Education""",Repeal,59,Jey,,3263,2610,2010-02-12 00:00:02-05:00
78,Universal Library Coalition,Education and Creativity,Cultural Heritage,Mousebumples,,5095,693,2010-02-16 00:00:01-05:00
79,Ban on Ex Post Facto Laws,Civil Rights,Significant,Hiriaurtung Arororugul,,4372,1188,2010-02-24 00:00:02-05:00
80,A Promotion of Basic Education,Education and Creativity,Educational,Sionis Prioratus,Unibot,4605,1550,2010-03-04 00:00:01-05:00
81,Disaster Preparedness Act,International Security,Mild,Topid,,4056,1988,2010-03-08 00:00:02-05:00
82,Universal Clinical Trials Act,Social Justice,Mild,Revolutionist Britain,,3981,2260,2010-03-12 00:00:02-05:00
83,International Road Safety,Free Trade,Mild,New Rockport,,3212,2996,2010-03-16 12:00:02-04:00
84,A Ban on Forced Disappearances,Furtherment of Democracy,Significant,Unibotian WA Mission,,3645,1941,2010-03-20 12:00:02-04:00
85,"Repeal ""Disaster Preparedness Act""",Repeal,81,Charlotte Ryberg,,3062,2777,2010-03-24 12:00:02-04:00
86,Museums of Musical Heritage,Education and Creativity,Cultural Heritage,Serrland,,3944,1811,2010-03-28 12:00:01-04:00
87,Meteorological Cooperation,Free Trade,Mild,Bears Armed Mission,St Edmund,5036,958,2010-04-01 12:00:02-04:00
88,WA Numeration and Units Act,Education and Creativity,Cultural Heritage,Unibotian WA Mission,,4044,1289,2010-04-11 12:00:02-04:00
89,Internet Net Neutrality Act,Education and Creativity,Free Press,Misrahistan,,4506,1220,2010-04-16 12:00:02-04:00
90,Drug Trafficking Act,International Security,Mild,Enn,Rehochipe,4391,1623,2010-04-20 12:00:03-04:00
91,A Convention on Gender,Civil Rights,Significant,Sionis Prioratus,,3363,2560,2010-04-29 00:00:01-04:00
92,Cooperation in Science Act,Education and Creativity,Educational,Gotham Network,,5033,997,2010-05-03 00:00:02-04:00
93,The General Patent Charter,Free Trade,Mild,Charlotte Ryberg,,4435,1701,2010-05-07 00:00:02-04:00
94,Microcredit and Microgrants,Free Trade,Mild,Glen-Rhodes,,3830,2215,2010-05-11 00:00:02-04:00
95,Responsible Offshore Drilling,Environmental,All Businesses - Strong,Embolalia,,3803,2562,2010-05-23 00:00:02-04:00
96,The Clean Water Resolution,Social Justice,Significant,Pan Master,,3316,3144,2010-05-27 00:00:01-04:00
97,Quality in Health Services,Social Justice,Significant,Sionis Prioratus,,3517,1903,2010-05-31 00:00:02-04:00
98,Oil Tanker Standards Act,Environmental,All Businesses - Strong,New Tarsas,,4891,1580,2010-06-04 00:00:02-04:00
99,Multilateral Prosecution Act,Civil Rights,Mild,Unibotian WA Mission,,3881,1893,2010-06-12 00:00:02-04:00
100,Anti-Cyberterrorism Act ,International Security,Mild,American Capitalist,Charlotte Ryberg,3330,2955,2010-06-16 00:00:02-04:00
101,"Repeal ""The Clean Water Resolution""",Repeal,96,Grays Harbor,,4285,1537,2010-06-24 00:00:02-04:00
102,International Criminal Court,Civil Rights,Significant,Quelesh,,3679,2050,2010-06-28 00:00:01-04:00
103,International Drug Education,Education and Creativity,Educational,Mousebumples,,4449,940,2010-07-11 12:00:01-04:00
104,Nautical Pilotage Act,International Security,Mild,Unibotian WA Mission,,4501,932,2010-07-27 00:00:02-04:00
105,Preparing for Disasters,International Security,Mild,Topid,Cievan,3376,1922,2010-08-04 00:00:02-04:00
106,Assitance Givers Protection,Advancement of Industry,Tort Reform,Bergnovinaia,,3501,2012,2010-08-08 00:00:01-04:00
107,Clean Water Act,Social Justice,Significant,Embolalia,,4117,1556,2010-08-12 00:00:01-04:00
108,For the Wrongly Convicted,Civil Rights,Significant,The Ainocran Embassy,,2962,2414,2010-08-16 00:00:01-04:00
109,Rights of the Orphaned Child,Civil Rights,Mild,Sanctaria,,4019,1446,2010-08-20 00:00:02-04:00
110,Identity Theft Prevention Act,International Security,Mild,American Capitalist,Quadrimmina,3936,1601,2010-09-07 00:00:02-04:00
111,Medical Research Ethics Act,Civil Rights,Significant,Quadrimmina,Manticore Reborn,3710,1877,2010-09-15 00:00:02-04:00
112,Convention on Execution,Civil Rights,Strong,Glen-Rhodes,Unibot,3436,2280,2010-09-19 00:00:02-04:00
113,The Gem Trading Accord,Free Trade,Significant,Urgench,,3013,2940,2010-09-23 00:00:02-04:00
114,On Female Genital Mutilation,Civil Rights,Significant,Quelesh,,5009,665,2010-10-05 00:00:02-04:00
115,Space Research Station Program,Education and Creativity,Educational,Northern Itasca,Libertytopia,4632,1314,2010-10-09 12:00:04-04:00
116,Nuclear Waste Safety Act,International Security,Significant,Erythrina,,3680,2191,2010-10-17 12:00:03-04:00
117,Delineation of Borders Act,Political Stability,Mild,Serrland,,3661,2446,2010-10-21 12:00:03-04:00
118,Ethics in International Trade,Advancement of Industry,Protective Tariffs,Unibotian WA Mission,,3153,2650,2010-10-25 12:00:02-04:00
119,Nuclear Testing Safety,Global Disarmament,Significant,Darenjo,Cardoness,3103,2631,2010-11-02 12:00:01-04:00
120,Missing Minors Database,International Security,Mild,Wildeson,Meekinos,3262,2398,2010-11-21 00:00:01-05:00
121,Medical Facilities Protection,Global Disarmament,Mild,Warzone Codger,The New Aryan State,4495,1660,2010-11-30 12:00:01-05:00
122,Read the Resolution Act,Furtherment of Democracy,Mild,Knootoss,,4594,2241,2010-12-04 12:00:01-05:00
123,Reducing Problem Gambling,Education and Creativity,Educational,Charlotte Ryberg,Knootoss,3861,2675,2010-12-08 12:00:02-05:00
124,Essential Medication Act,Recreational Drug Use,Legalize,Mousebumples,,4532,1807,2010-12-22 12:00:01-05:00
125,"Repeal ""Missing Minors Database""",Repeal,120,Darenjon WA Embassy,Quelesh,4884,1165,2011-01-01 12:00:01-05:00
126,Extinction Preparation Act,Education and Creativity,Educational,The Associated Peoples,The Coyote Coalition,4442,3800,2011-01-07 00:00:01-05:00
127,Conscientious Objector Act,Civil Rights,Significant,Otrenia,,4616,4578,2011-01-11 00:00:01-05:00
128,On Abortion,Civil Rights,Mild,Charlotte Ryberg,,6359,2556,2011-01-15 00:00:02-05:00
129,"Repeal ""Conscientious Objector Act""",Repeal,127,Diogenes Epicurius,,5747,2598,2011-01-19 00:00:01-05:00
130,Elections and Assistance Act,Furtherment of Democracy,Significant,Glen-Rhodes,,5374,2635,2011-01-23 00:00:01-05:00
131,Missing Minors Act,International Security,Mild,Mahaj WA Seat,,6404,1959,2011-02-02 00:00:01-05:00
132,Military Freedom Act,Furtherment of Democracy,Significant,Embolalia,,4737,2925,2011-02-06 00:00:02-05:00
133,"Repeal ""Missing Minors Act""",Repeal,131,Sanctaria,,6446,1996,2011-02-10 00:00:01-05:00
134,Guns and Mental Capacity,Gun Control,0,Darenjo,,6027,3277,2011-02-16 00:00:01-05:00
135,Universal Standard Time Act,Free Trade,Mild,Opiachus,,6342,3060,2011-02-20 00:00:02-05:00
136,Convention On Wartime Deceased,Moral Decency,Mild,Serrland,,5922,3455,2011-02-24 00:00:01-05:00
137,"Repeal ""Universal Standard Time Act""",Repeal,135,Krioval,,5520,4014,2011-02-28 00:00:02-05:00
138,"Repeal ""Space Research Station Program""",Repeal,115,Darenjo,,6806,2814,2011-03-04 00:00:01-05:00
139,Consumer Product Safety,Social Justice,Mild,Cool Egg Sandwich,,6047,3640,2011-03-08 00:00:01-05:00
140,Institutional Psychiatry Act,Civil Rights,Significant,Unibotian WA Mission,,6403,2277,2011-03-12 00:00:01-05:00
141,Permit Male Circumcision,Civil Rights,Mild,Knootoss,,6495,2986,2011-03-16 12:00:02-04:00
142,In Regards to Cloning,Civil Rights,Mild,Mahaj WA Seat,Cool Egg Sandwich,5261,4520,2011-03-20 12:00:01-04:00
143,"Repeal ""In Regards to Cloning""",Repeal,142,Parallaxium,,7762,2954,2011-03-30 12:00:02-04:00
144,"Repeal ""Neutrality of Nations""",Repeal,14,Sionis Prioratus,,8253,2620,2011-04-09 12:00:01-04:00
145,Animal Cruelty Prevention,Moral Decency,Mild,Luthiland,,7911,2850,2011-04-13 12:00:02-04:00
146,Recognising Achievements Act,Free Trade,Mild,Ossitania,Knootoss,7529,2962,2011-04-17 12:00:02-04:00
147,Extradition Rights,Civil Rights,Significant,Knootoss,,8071,2828,2011-04-21 12:00:01-04:00
148,Against Conflict Minerals,Free Trade,Mild,Unibotian WA Mission,,7882,2586,2011-04-25 12:00:01-04:00
149,On Expiration Dates,Social Justice,Mild,A Mean Old Man,,8902,2228,2011-04-29 12:00:01-04:00
150,"Repeal ""Guns and Mental Capacity""",Repeal,134,Mousebumples,Intellect and the Arts,10272,1639,2011-05-15 12:00:01-04:00
151,Missing Individuals Act,International Security,Mild,Mousebumples,,10118,2615,2011-05-19 12:00:02-04:00
152,"Repeal ""WA Environmental Council""",Repeal,42,Cool Egg Sandwich,Mousebumples,9564,2575,2011-05-23 12:00:01-04:00
153,"Repeal ""Biological Weapons Conference""",Repeal,65,Knootoss,,10423,2260,2011-06-01 12:00:01-04:00
154,"Repeal ""Extinction Preparation Act""",Repeal,126,Mallorea and Riva,Mousebumples,10499,1615,2011-06-14 12:00:02-04:00
155,Freedom of the Press,Education and Creativity,Free Press,Broughdom,,9290,3670,2011-06-18 12:00:01-04:00
156,Safety in Difficult Times,Social Justice,Significant,Sionis Prioratus,,8194,3693,2011-07-05 00:00:02-04:00
157,"Repeal ""Safety in Difficult Times""",Repeal,156,Freewilltoall,,7652,3599,2011-07-17 00:00:02-04:00
158,On Genetically Modified Foods,Free Trade,Mild,Mahaj WA Seat,,8534,2923,2011-07-21 00:00:02-04:00
159,Promotion of Intl Education,Education and Creativity,Educational,WA Mission of NERV-UN,,7949,3090,2011-07-25 00:00:01-04:00
160,Forced Marriages Ban Act,Civil Rights,Mild,Christian Democrats,,8695,2363,2011-08-17 00:00:02-04:00
161,Medical Standards in Prisons,Civil Rights,Significant,Connopolis,Mousebumples,7177,4044,2011-08-21 00:00:02-04:00
162,On Humanitarian Aid,Civil Rights,Significant,Connopolis,,6638,4172,2011-08-29 00:00:01-04:00
163,"Repeal ""Law of the Sea""",Repeal,47,Goddess Relief Office,A Mean Old Man,8942,2053,2011-09-02 00:00:02-04:00
164,Consular Rights,Civil Rights,Mild,Topid,,9325,1118,2011-09-07 12:00:01-04:00
165,A Model World Assembly,Education and Creativity,Educational,Mahaj WA Seat,,6624,4018,2011-09-13 00:00:02-04:00
166,"Repeal ""On Humanitarian Aid""",Repeal,162,Glen-Rhodes,,7409,2888,2011-09-17 00:00:01-04:00
167,Legalizing Prostitution,Free Trade,Significant,Great Azarath,,6343,4954,2011-10-10 00:00:01-04:00
168,Law of the Seas,Global Disarmament,Mild,Bears Armed Mission,Cobdenia,7319,3987,2011-10-15 00:00:02-04:00
169,Social Assistance Accord,Social Justice,Significant,Connopolis,,7091,4090,2011-10-19 00:00:01-04:00
170,Protect War Correspondents,Civil Rights,Significant,Antartica55,Connopolis,8126,3365,2011-11-10 00:00:01-05:00
171,Freedom in Medical Research,Free Trade,Significant,Connopolis,Quadrimmina,8216,2616,2011-11-22 00:00:02-05:00
172,International Expositions Act,Education and Creativity,Cultural Heritage,Astro-Malsitari WA Seat,Connopolis,8230,2820,2011-12-02 00:00:01-05:00
173,"Repeal ""Social Assistance Accord""",Repeal,169,Knootoss,Unibot II,8997,2248,2011-12-06 00:00:01-05:00
174,Right to Petition,Furtherment of Democracy,Mild,Knootoss,,8647,2318,2011-12-15 12:00:01-05:00
175,Organ and Blood Donations Act,Social Justice,Significant,Christian Democrats,,7954,3791,2011-12-23 12:00:01-05:00
176,Disability Welfare Act,Social Justice,Significant,Sanctaria,,6753,2531,2011-12-27 12:00:01-05:00
177,Concerning Financial Fraud,Free Trade,Significant,Connopolis,Ossitania,6215,4363,2012-01-07 12:00:02-05:00
178,"Repeal ""Legalizing Prostitution""",Repeal,167,Alqania,,6501,4631,2012-01-21 00:00:02-05:00
179,Clean Prostitute Act,Free Trade,Mild,Flibbleites,,10639,1309,2012-01-29 00:00:02-05:00
180,A Decriminalization of Suicide,Civil Rights,Significant,Unibotian WA Mission,,10179,1962,2012-02-02 00:00:03-05:00
181,"Repeal ""Medical Blockade Restriction""",Repeal,74,Connopolis,,9091,2429,2012-02-06 00:00:01-05:00
182,Renewable Research Commitment,Environmental,All Businesses - Strong,Delegate Vinage,Individuality-ness,8115,3499,2012-02-21 00:00:01-05:00
183,Defense of Self and Others,Civil Rights,Significant,Ossitania,,8566,3185,2012-02-25 00:00:01-05:00
184,"Repeal ""Habeas Corpus""",Repeal,67,Quelesh,,8419,2560,2012-02-29 00:00:01-05:00
185,"Repeal ""WA Copyright Charter""",Repeal,61,Embolalia,,8880,1851,2012-03-08 00:00:01-05:00
186,Medical Provisions in Blockade,Free Trade,Significant,Damanucus,Connopolis,9583,1699,2012-03-12 12:00:01-04:00
187,Double Jeopardy Prohibition,Civil Rights,Significant,Quelesh,,5947,5247,2012-03-16 12:00:02-04:00
188,"Repeal ""A Model World Assembly""",Repeal,165,Mallorea and Riva,Mousebumples,8787,2249,2012-03-20 12:00:01-04:00
189,"Repeal ""For the Detained and Convicted""",Repeal,62,Mousebumples,,9756,1434,2012-04-05 12:00:02-04:00
190,Habeas Corpus Act,Civil Rights,Strong,Quelesh,,8166,2714,2012-04-10 12:00:01-04:00
191,"Repeal ""Animal Cruelty Prevention""",Repeal,145,Sciongrad,Knootoss,5780,5174,2012-04-18 12:00:01-04:00
192,"Repeal ""Right to Privacy""",Repeal,58,Weed,,6354,4003,2012-04-22 12:00:01-04:00
193,"Repeal ""Double Jeopardy Prohibition""",Repeal,187,Mousebumples,Mallorea and Riva,9388,1755,2012-04-26 12:00:01-04:00
194,Treatment of Inmates,Civil Rights,Significant,Moronist Decisions,,8271,3026,2012-04-30 12:00:01-04:00
195,"Repeal ""Habeas Corpus Act""",Repeal,190,Mousebumples,,8944,1775,2012-05-04 12:00:01-04:00
196,Freedom of Information Act,Furtherment of Democracy,Significant,Auralia,Quadrimmina,6396,5168,2012-05-08 12:00:01-04:00
197,Banning Extrajudicial Transfer,Civil Rights,Significant,Quadrimmina,,7810,3278,2012-05-12 12:00:01-04:00
198,Preventing Multiple Trials,Civil Rights,Significant,Moronist Decisions,Ossitania,7757,3078,2012-05-20 12:00:01-04:00
199,Sustainable Fishing Act,Environmental,All Businesses - Strong,Cowardly Pacifists,Bears Armed,9088,1697,2012-05-28 12:00:02-04:00
200,Foreign Marriage Recognition,Civil Rights,Mild,Christian Democrats,,6045,5079,2012-06-05 12:00:01-04:00
201,Habeas Corpus,Civil Rights,Significant,Sanctaria,,9126,2096,2012-06-09 12:00:02-04:00
202,Convict Appellate Rights,Civil Rights,Significant,Ossitania,,9075,1902,2012-06-13 12:00:01-04:00
203,"Repeal ""Nautical Pilotage Act""",Repeal,104,Moronist Decisions,Mousebumples,8927,1898,2012-06-17 12:00:01-04:00
204,Nuclear Power Safety Act,Environmental,Mining,Silvadus,Lestaria and Neuchies,7976,2884,2012-06-21 12:00:01-04:00
205,Freedom to Contract,Civil Rights,Strong,Cowardly Pacifists,,8806,1748,2012-06-25 12:00:02-04:00
206,"Repeal ""Delineation of Borders Act""",Repeal,117,Ossitania,,7975,1125,2012-06-29 12:00:01-04:00
207,Intangible Cultural Heritage,Education and Creativity,Cultural Heritage,Ile Royale,,7029,3120,2012-07-03 12:00:01-04:00
208,Resolving WA Trade Disputes,Free Trade,Significant,Auralia,,7321,2054,2012-07-07 12:00:02-04:00
209,World Assembly Trade Rights,Free Trade,Strong,Auralia,,7066,2420,2012-07-29 00:00:01-04:00
210,"Repeal ""Numismatics Appreciation Act""",Repeal,56,Sciongrad,,8086,1466,2012-08-06 00:00:01-04:00
211,"Repeal ""On Expiration Dates""",Repeal,149,Sciongrad,,9036,930,2012-08-18 00:00:02-04:00
212,"Repeal ""Nuclear Power Safety Act""",Repeal,204,Bergnovinaia,Ossitania,6501,3615,2012-08-22 00:00:02-04:00
213,Privacy Protection Act,Civil Rights,Significant,Christian Democrats,,7427,3173,2012-08-26 00:00:01-04:00
214,"Repeal ""Intangible Cultural Heritage""",Repeal,207,Sciongrad,,8694,1121,2012-08-31 12:00:01-04:00
215,"Repeal ""Organ and Blood Donations Act""",Repeal,175,Mousebumples,,8832,1241,2012-09-04 12:00:01-04:00
216,"Repeal ""Stem Cells For Greater Health""",Repeal,49,Mousebumples,Oliver the Mediocre,8079,1466,2012-09-08 12:00:01-04:00
217,Biomedical Donor Rights,Civil Rights,Significant,Mousebumples,,8856,816,2012-09-19 12:00:01-04:00
218,Biomedical Recipient Rights,Civil Rights,Significant,Mousebumples,,8682,1020,2012-09-23 12:00:01-04:00
219,Biomedical Innovation Org,Education and Creativity,Educational,Mousebumples,,8850,1130,2012-09-27 12:00:01-04:00
220,"Repeal ""Child Protection Act""",Repeal,19,Mousebumples,,8434,1425,2012-10-01 12:00:01-04:00
221,On Multilateral Trade Talks,Free Trade,Mild,Auralia,,5133,4146,2012-10-05 12:00:01-04:00
222,Prevention of Child Abuse,Civil Rights,Significant,Sanctaria,The Dourian Embassy,9348,1002,2012-10-09 12:00:01-04:00
223,Transboundary Water Use Act,Environmental,All Businesses - Strong,Anime Daisuki,,8421,1743,2012-10-27 00:00:01-04:00
224,Promotion of Bee-keeping,Free Trade,Mild,Bears Armed Mission,,8599,2463,2012-11-02 12:00:02-04:00
225,"Repeal ""Assitance Givers Protection""",Repeal,106,The Dourian Embassy,,9744,1004,2012-11-06 12:00:01-05:00
226,WA Development Foundation,Free Trade,Mild,Auralia,,7156,4706,2012-11-24 00:00:01-05:00
227,Rights of the Disabled Act,Civil Rights,Significant,Imperium Londinium,,8899,3686,2012-11-28 00:00:02-05:00
228,Animal Protection Act ,Moral Decency,Significant,Ilstoria,,6922,6083,2012-12-02 00:00:01-05:00
229,Access to Courts,Social Justice,Mild,Cowardly Pacifists,,9959,2696,2012-12-06 00:00:02-05:00
230,The Early Learning Act,Education and Creativity,Educational,Isalenoria,,10824,2758,2012-12-18 00:00:01-05:00
231,Marital Rape Justice Act,Moral Decency,Mild,Christian Democrats,,9741,2246,2012-12-26 00:00:02-05:00
232,Foreign Copyright Recognition,Free Trade,Mild,Auralia,,8810,2581,2012-12-30 00:00:02-05:00
233,Ban Profits on Workers' Deaths,Social Justice,Mild,Sionis Prioratus,Christian Democrats,9205,2260,2013-01-03 12:00:01-05:00
234,Freedom to Read and Learn,Civil Rights,Significant,Sionis Prioratus,,10554,1830,2013-01-07 12:00:01-05:00
235,Child Firearm Safety Act,Gun Control,0,Cowardly Pacifists,,8543,3924,2013-01-11 12:00:01-05:00
236,Renewable Energy Installations,Environmental,All Businesses - Strong,Abacathea,,7948,4890,2013-01-15 12:00:01-05:00
237,First Responder Protection Act,Civil Rights,Mild,Bushsucks-istan,Oppe Ruiver,8184,4093,2013-01-21 00:00:01-05:00
238,"Repeal ""Marital Rape Justice Act""",Repeal,231,Ossitania,,9040,3485,2013-02-02 12:00:02-05:00
239,Vehicle Emissions Convention,Environmental,Automotive,Abacathea,,8453,5055,2013-02-14 17:27:19-05:00
